timestamp,series_id,domain,value,volume
2024-08-26,CORN_GLOBAL,food,362.0,143588
2024-08-27,CORN_GLOBAL,food,367.25,161618
2024-08-28,CORN_GLOBAL,food,365.25,160784
2024-08-29,CORN_GLOBAL,food,371.75,100531
2024-08-30,CORN_GLOBAL,food,378.0,6393
2024-09-03,CORN_GLOBAL,food,386.5,3017
2024-09-04,CORN_GLOBAL,food,390.5,1519
2024-09-05,CORN_GLOBAL,food,390.0,485
2024-09-06,CORN_GLOBAL,food,383.75,504
2024-09-09,CORN_GLOBAL,food,384.25,504
2024-09-10,CORN_GLOBAL,food,379.5,296
2024-09-11,CORN_GLOBAL,food,380.5,117
2024-09-12,CORN_GLOBAL,food,386.25,123
2024-09-13,CORN_GLOBAL,food,390.75,229028
2024-09-16,CORN_GLOBAL,food,410.75,150818
2024-09-17,CORN_GLOBAL,food,412.5,123973
2024-09-18,CORN_GLOBAL,food,412.75,134644
2024-09-19,CORN_GLOBAL,food,405.75,166204
2024-09-20,CORN_GLOBAL,food,401.75,178231
2024-09-23,CORN_GLOBAL,food,413.5,228072
2024-09-24,CORN_GLOBAL,food,411.75,210496
2024-09-25,CORN_GLOBAL,food,415.25,158957
2024-09-26,CORN_GLOBAL,food,413.25,204872
2024-09-27,CORN_GLOBAL,food,418.0,218578
2024-09-30,CORN_GLOBAL,food,424.75,272926
2024-10-01,CORN_GLOBAL,food,429.0,262757
2024-10-02,CORN_GLOBAL,food,432.5,239747
2024-10-03,CORN_GLOBAL,food,428.25,181331
2024-10-04,CORN_GLOBAL,food,424.75,165354
2024-10-07,CORN_GLOBAL,food,426.0,161439
2024-10-08,CORN_GLOBAL,food,420.75,229659
2024-10-09,CORN_GLOBAL,food,421.0,148815
2024-10-10,CORN_GLOBAL,food,418.5,171360
2024-10-11,CORN_GLOBAL,food,415.75,224069
2024-10-14,CORN_GLOBAL,food,408.25,257782
2024-10-15,CORN_GLOBAL,food,401.25,305403
2024-10-16,CORN_GLOBAL,food,404.75,214285
2024-10-17,CORN_GLOBAL,food,406.75,255482
2024-10-18,CORN_GLOBAL,food,404.75,193538
2024-10-21,CORN_GLOBAL,food,409.5,241760
2024-10-22,CORN_GLOBAL,food,416.5,267224
2024-10-23,CORN_GLOBAL,food,419.0,246005
2024-10-24,CORN_GLOBAL,food,421.5,287987
2024-10-25,CORN_GLOBAL,food,415.25,247609
2024-10-28,CORN_GLOBAL,food,410.75,251359
2024-10-29,CORN_GLOBAL,food,413.75,197431
2024-10-30,CORN_GLOBAL,food,411.5,170092
2024-10-31,CORN_GLOBAL,food,410.75,238814
2024-11-01,CORN_GLOBAL,food,414.5,197406
2024-11-04,CORN_GLOBAL,food,416.5,219138
2024-11-05,CORN_GLOBAL,food,418.5,167928
2024-11-06,CORN_GLOBAL,food,426.25,283193
2024-11-07,CORN_GLOBAL,food,427.5,310584
2024-11-08,CORN_GLOBAL,food,431.0,347310
2024-11-11,CORN_GLOBAL,food,430.0,250205
2024-11-12,CORN_GLOBAL,food,428.5,250503
2024-11-13,CORN_GLOBAL,food,426.5,235165
2024-11-14,CORN_GLOBAL,food,419.0,292267
2024-11-15,CORN_GLOBAL,food,424.0,218570
2024-11-18,CORN_GLOBAL,food,429.25,190964
2024-11-19,CORN_GLOBAL,food,427.25,215160
2024-11-20,CORN_GLOBAL,food,430.25,224875
2024-11-21,CORN_GLOBAL,food,426.75,187445
2024-11-22,CORN_GLOBAL,food,425.5,159873
2024-11-25,CORN_GLOBAL,food,424.75,226269
2024-11-26,CORN_GLOBAL,food,420.0,210241
2024-11-27,CORN_GLOBAL,food,415.75,145009
2024-11-29,CORN_GLOBAL,food,423.0,7903
2024-12-02,CORN_GLOBAL,food,424.5,3895
2024-12-03,CORN_GLOBAL,food,423.25,4091
2024-12-04,CORN_GLOBAL,food,422.0,1723
2024-12-05,CORN_GLOBAL,food,426.5,2566
2024-12-06,CORN_GLOBAL,food,430.75,1372
2024-12-09,CORN_GLOBAL,food,434.0,1586
2024-12-10,CORN_GLOBAL,food,440.5,1685
2024-12-11,CORN_GLOBAL,food,438.0,570
2024-12-12,CORN_GLOBAL,food,431.75,334
2024-12-13,CORN_GLOBAL,food,430.0,170867
2024-12-16,CORN_GLOBAL,food,445.0,157167
2024-12-17,CORN_GLOBAL,food,443.5,164416
2024-12-18,CORN_GLOBAL,food,437.25,176178
2024-12-19,CORN_GLOBAL,food,440.75,182519
2024-12-20,CORN_GLOBAL,food,446.25,191422
2024-12-23,CORN_GLOBAL,food,447.75,132878
2024-12-24,CORN_GLOBAL,food,448.5,88153
2024-12-26,CORN_GLOBAL,food,453.75,176165
2024-12-27,CORN_GLOBAL,food,454.0,162024
2024-12-30,CORN_GLOBAL,food,452.25,217069
2024-12-31,CORN_GLOBAL,food,458.5,172882
2025-01-02,CORN_GLOBAL,food,459.5,163449
2025-01-03,CORN_GLOBAL,food,450.75,199340
2025-01-06,CORN_GLOBAL,food,457.75,227403
2025-01-07,CORN_GLOBAL,food,458.0,211629
2025-01-08,CORN_GLOBAL,food,454.0,192588
2025-01-09,CORN_GLOBAL,food,456.0,157712
2025-01-10,CORN_GLOBAL,food,470.5,467086
2025-01-13,CORN_GLOBAL,food,476.5,376883
2025-01-14,CORN_GLOBAL,food,474.5,278017
2025-01-15,CORN_GLOBAL,food,478.75,218140
2025-01-16,CORN_GLOBAL,food,474.5,209824
2025-01-17,CORN_GLOBAL,food,484.25,305007
2025-01-21,CORN_GLOBAL,food,490.0,295105
2025-01-22,CORN_GLOBAL,food,484.25,264538
2025-01-23,CORN_GLOBAL,food,489.75,250550
2025-01-24,CORN_GLOBAL,food,486.5,208959
2025-01-27,CORN_GLOBAL,food,482.0,216234
2025-01-28,CORN_GLOBAL,food,485.25,225855
2025-01-29,CORN_GLOBAL,food,497.0,277207
2025-01-30,CORN_GLOBAL,food,490.25,218110
2025-01-31,CORN_GLOBAL,food,482.0,318483
2025-02-03,CORN_GLOBAL,food,488.75,322166
2025-02-04,CORN_GLOBAL,food,494.5,279780
2025-02-05,CORN_GLOBAL,food,493.25,226004
2025-02-06,CORN_GLOBAL,food,495.25,299134
2025-02-07,CORN_GLOBAL,food,487.5,287303
2025-02-10,CORN_GLOBAL,food,491.5,250904
2025-02-11,CORN_GLOBAL,food,484.0,311257
2025-02-12,CORN_GLOBAL,food,490.25,271391
2025-02-13,CORN_GLOBAL,food,493.5,269316
2025-02-14,CORN_GLOBAL,food,496.25,195600
2025-02-18,CORN_GLOBAL,food,502.0,238775
2025-02-19,CORN_GLOBAL,food,497.5,210080
2025-02-20,CORN_GLOBAL,food,498.0,163804
2025-02-21,CORN_GLOBAL,food,491.25,209485
2025-02-24,CORN_GLOBAL,food,482.5,189315
2025-02-25,CORN_GLOBAL,food,479.75,116438
2025-02-26,CORN_GLOBAL,food,478.25,101750
2025-02-27,CORN_GLOBAL,food,464.75,86413
2025-02-28,CORN_GLOBAL,food,453.5,8178
2025-03-03,CORN_GLOBAL,food,440.25,3364
2025-03-04,CORN_GLOBAL,food,436.0,2273
2025-03-05,CORN_GLOBAL,food,440.25,1169
2025-03-06,CORN_GLOBAL,food,449.5,668
2025-03-07,CORN_GLOBAL,food,455.25,311
2025-03-10,CORN_GLOBAL,food,458.75,479
2025-03-11,CORN_GLOBAL,food,456.5,76
2025-03-12,CORN_GLOBAL,food,448.75,233
2025-03-13,CORN_GLOBAL,food,453.5,101
2025-03-14,CORN_GLOBAL,food,445.5,242039
2025-03-17,CORN_GLOBAL,food,461.0,180875
2025-03-18,CORN_GLOBAL,food,458.75,177170
2025-03-19,CORN_GLOBAL,food,462.0,185225
2025-03-20,CORN_GLOBAL,food,469.0,219751
2025-03-21,CORN_GLOBAL,food,464.25,182427
2025-03-24,CORN_GLOBAL,food,464.5,125182
2025-03-25,CORN_GLOBAL,food,457.75,148189
2025-03-26,CORN_GLOBAL,food,451.25,154487
2025-03-27,CORN_GLOBAL,food,450.0,170192
2025-03-28,CORN_GLOBAL,food,453.25,206960
2025-03-31,CORN_GLOBAL,food,457.25,282804
2025-04-01,CORN_GLOBAL,food,461.75,179571
2025-04-02,CORN_GLOBAL,food,457.75,159591
2025-04-03,CORN_GLOBAL,food,457.5,203152
2025-04-04,CORN_GLOBAL,food,460.25,212888
2025-04-07,CORN_GLOBAL,food,464.5,216782
2025-04-08,CORN_GLOBAL,food,469.0,255177
2025-04-09,CORN_GLOBAL,food,474.0,257173
2025-04-10,CORN_GLOBAL,food,483.0,326270
2025-04-11,CORN_GLOBAL,food,490.25,284335
2025-04-14,CORN_GLOBAL,food,485.0,201393
2025-04-15,CORN_GLOBAL,food,481.25,178411
2025-04-16,CORN_GLOBAL,food,484.25,136221
2025-04-17,CORN_GLOBAL,food,482.25,117566
2025-04-21,CORN_GLOBAL,food,481.75,128840
2025-04-22,CORN_GLOBAL,food,475.75,152079
2025-04-23,CORN_GLOBAL,food,472.0,147853
2025-04-24,CORN_GLOBAL,food,477.25,146915
2025-04-25,CORN_GLOBAL,food,478.75,129454
2025-04-28,CORN_GLOBAL,food,475.5,176588
2025-04-29,CORN_GLOBAL,food,460.5,100359
2025-04-30,CORN_GLOBAL,food,467.25,10991
2025-05-01,CORN_GLOBAL,food,464.25,3008
2025-05-02,CORN_GLOBAL,food,461.25,2624
2025-05-05,CORN_GLOBAL,food,446.5,1098
2025-05-06,CORN_GLOBAL,food,447.5,466
2025-05-07,CORN_GLOBAL,food,441.0,617
2025-05-08,CORN_GLOBAL,food,439.0,438
2025-05-09,CORN_GLOBAL,food,441.5,240
2025-05-12,CORN_GLOBAL,food,440.25,205
2025-05-13,CORN_GLOBAL,food,436.0,66
2025-05-14,CORN_GLOBAL,food,438.5,177064
2025-05-15,CORN_GLOBAL,food,448.5,191182
2025-05-16,CORN_GLOBAL,food,443.5,173410
2025-05-19,CORN_GLOBAL,food,447.5,179623
2025-05-20,CORN_GLOBAL,food,454.5,194894
2025-05-21,CORN_GLOBAL,food,461.0,201425
2025-05-22,CORN_GLOBAL,food,463.0,192800
2025-05-23,CORN_GLOBAL,food,459.5,167356
2025-05-27,CORN_GLOBAL,food,459.5,153148
2025-05-28,CORN_GLOBAL,food,451.0,196402
2025-05-29,CORN_GLOBAL,food,447.0,157586
2025-05-30,CORN_GLOBAL,food,444.0,140113
2025-06-02,CORN_GLOBAL,food,438.25,211154
2025-06-03,CORN_GLOBAL,food,438.5,209493
2025-06-04,CORN_GLOBAL,food,438.75,220751
2025-06-05,CORN_GLOBAL,food,439.5,0
2025-06-06,CORN_GLOBAL,food,442.5,229798
2025-06-09,CORN_GLOBAL,food,433.5,228598
2025-06-10,CORN_GLOBAL,food,438.75,245097
2025-06-11,CORN_GLOBAL,food,437.0,201677
2025-06-12,CORN_GLOBAL,food,438.5,190442
2025-06-13,CORN_GLOBAL,food,444.5,179124
2025-06-16,CORN_GLOBAL,food,434.75,177619
2025-06-17,CORN_GLOBAL,food,431.5,231168
2025-06-18,CORN_GLOBAL,food,433.5,0
2025-06-20,CORN_GLOBAL,food,428.75,189743
2025-06-23,CORN_GLOBAL,food,419.25,197265
2025-06-24,CORN_GLOBAL,food,416.25,192057
2025-06-25,CORN_GLOBAL,food,410.25,144137
2025-06-26,CORN_GLOBAL,food,409.5,159014
2025-06-27,CORN_GLOBAL,food,417.5,106238
2025-06-30,CORN_GLOBAL,food,420.5,12555
2025-07-01,CORN_GLOBAL,food,420.0,4103
2025-07-02,CORN_GLOBAL,food,429.25,3639
2025-07-03,CORN_GLOBAL,food,431.5,0
2025-07-07,CORN_GLOBAL,food,418.0,709
2025-07-08,CORN_GLOBAL,food,411.0,573
2025-07-09,CORN_GLOBAL,food,412.5,349
2025-07-10,CORN_GLOBAL,food,407.25,571
2025-07-11,CORN_GLOBAL,food,403.0,315
